lake_slug,lake_name,date,temperature_max_f,temperature_min_f,precipitation_in,wind_speed_max_mph,source_system,ingested_at_utc,raw_file_name
lake_norman,Lake Norman,2026-05-02,61.6,50.5,0.0,9.6,open_meteo,2026-05-03T02:23:46.325239+00:00,lake_norman_weather_open_meteo_20260503_022346.json
lake_norman,Lake Norman,2026-05-03,68.7,40.4,0.0,7.9,open_meteo,2026-05-03T02:23:46.325239+00:00,lake_norman_weather_open_meteo_20260503_022346.json
lake_norman,Lake Norman,2026-05-04,80.0,45.3,0.0,12.5,open_meteo,2026-05-03T02:23:46.325239+00:00,lake_norman_weather_open_meteo_20260503_022346.json
lake_norman,Lake Norman,2026-05-05,80.6,52.5,0.0,14.2,open_meteo,2026-05-03T02:23:46.325239+00:00,lake_norman_weather_open_meteo_20260503_022346.json
lake_norman,Lake Norman,2026-05-06,84.8,60.5,0.0,14.2,open_meteo,2026-05-03T02:23:46.325239+00:00,lake_norman_weather_open_meteo_20260503_022346.json
lake_norman,Lake Norman,2026-05-07,74.9,54.2,1.268,15.5,open_meteo,2026-05-03T02:23:46.325239+00:00,lake_norman_weather_open_meteo_20260503_022346.json
lake_norman,Lake Norman,2026-05-08,70.6,42.1,0.0,12.1,open_meteo,2026-05-03T02:23:46.325239+00:00,lake_norman_weather_open_meteo_20260503_022346.json
lake_tillery,Lake Tillery,2026-05-02,62.0,51.8,0.087,8.5,open_meteo,2026-05-03T01:17:36.224302+00:00,lake_tillery_weather_open_meteo_20260503_011736.json
lake_tillery,Lake Tillery,2026-05-03,70.4,43.7,0.0,8.1,open_meteo,2026-05-03T01:17:36.224302+00:00,lake_tillery_weather_open_meteo_20260503_011736.json
lake_tillery,Lake Tillery,2026-05-04,80.0,48.0,0.0,10.5,open_meteo,2026-05-03T01:17:36.224302+00:00,lake_tillery_weather_open_meteo_20260503_011736.json
lake_tillery,Lake Tillery,2026-05-05,83.3,50.7,0.0,14.1,open_meteo,2026-05-03T01:17:36.224302+00:00,lake_tillery_weather_open_meteo_20260503_011736.json
lake_tillery,Lake Tillery,2026-05-06,87.1,62.2,0.0,13.9,open_meteo,2026-05-03T01:17:36.224302+00:00,lake_tillery_weather_open_meteo_20260503_011736.json
lake_tillery,Lake Tillery,2026-05-07,73.6,60.6,2.197,18.0,open_meteo,2026-05-03T01:17:36.224302+00:00,lake_tillery_weather_open_meteo_20260503_011736.json
lake_tillery,Lake Tillery,2026-05-08,73.5,44.0,0.0,16.5,open_meteo,2026-05-03T01:17:36.224302+00:00,lake_tillery_weather_open_meteo_20260503_011736.json
lake_tillery,Lake Tillery,2026-05-02,62.0,49.6,0.087,8.5,open_meteo,2026-05-03T02:14:11.866193+00:00,lake_tillery_weather_open_meteo_20260503_021411.json
lake_tillery,Lake Tillery,2026-05-03,70.4,43.0,0.0,8.9,open_meteo,2026-05-03T02:14:11.866193+00:00,lake_tillery_weather_open_meteo_20260503_021411.json
lake_tillery,Lake Tillery,2026-05-04,81.4,47.1,0.0,10.4,open_meteo,2026-05-03T02:14:11.866193+00:00,lake_tillery_weather_open_meteo_20260503_021411.json
lake_tillery,Lake Tillery,2026-05-05,83.3,50.7,0.0,14.1,open_meteo,2026-05-03T02:14:11.866193+00:00,lake_tillery_weather_open_meteo_20260503_021411.json
lake_tillery,Lake Tillery,2026-05-06,87.1,62.2,0.0,13.9,open_meteo,2026-05-03T02:14:11.866193+00:00,lake_tillery_weather_open_meteo_20260503_021411.json
lake_tillery,Lake Tillery,2026-05-07,73.6,60.6,2.197,18.0,open_meteo,2026-05-03T02:14:11.866193+00:00,lake_tillery_weather_open_meteo_20260503_021411.json
lake_tillery,Lake Tillery,2026-05-08,73.5,44.0,0.0,16.5,open_meteo,2026-05-03T02:14:11.866193+00:00,lake_tillery_weather_open_meteo_20260503_021411.json
lake_tillery,Lake Tillery,2026-05-02,62.0,49.6,0.087,8.5,open_meteo,2026-05-03T02:23:46.876523+00:00,lake_tillery_weather_open_meteo_20260503_022346.json
lake_tillery,Lake Tillery,2026-05-03,70.4,43.0,0.0,8.9,open_meteo,2026-05-03T02:23:46.876523+00:00,lake_tillery_weather_open_meteo_20260503_022346.json
lake_tillery,Lake Tillery,2026-05-04,81.4,47.1,0.0,10.4,open_meteo,2026-05-03T02:23:46.876523+00:00,lake_tillery_weather_open_meteo_20260503_022346.json
lake_tillery,Lake Tillery,2026-05-05,83.3,50.7,0.0,14.1,open_meteo,2026-05-03T02:23:46.876523+00:00,lake_tillery_weather_open_meteo_20260503_022346.json
lake_tillery,Lake Tillery,2026-05-06,87.1,62.2,0.0,13.9,open_meteo,2026-05-03T02:23:46.876523+00:00,lake_tillery_weather_open_meteo_20260503_022346.json
lake_tillery,Lake Tillery,2026-05-07,73.6,60.6,2.197,18.0,open_meteo,2026-05-03T02:23:46.876523+00:00,lake_tillery_weather_open_meteo_20260503_022346.json
lake_tillery,Lake Tillery,2026-05-08,73.5,44.0,0.0,16.5,open_meteo,2026-05-03T02:23:46.876523+00:00,lake_tillery_weather_open_meteo_20260503_022346.json
